Non-Profit,Research Assistant Donor Prospect Development,1,Research Assistant,55478,Research Assistant2,58676
Non-Profit,Prospect Development Director,38,Development Director,39040,Development Director,41133
Non-Profit,Assistant Prospecting Manager,2,Assistant Manager,26925,Assistant Manager,33267
Non-Profit,Prospect Research Assistant Manager,2,Assistant Manager,26925,Assistant Manager,33267
Non-Profit,Prospect Management Assistant Director,11,Assistant Director,21193,Assistant Director,24720
Non-Profit,Prospect Identification Assistant Director,1,Assistant Director,21193,Assistant Director,24720
Non-Profit,Prospects Research Intern,1,Research Intern,15372,Research Intern,15415
Non-Profit,Prospect Research Intern,21,Research Intern,15372,Research Intern,15415
Non-Profit,Prospect Management Associate Director,6,Associate Director,15203,Associate Director,16947
Non-Profit,Prospect Development Manager,9,Development Manager,14739,Development Manager,18428
Non-Profit,Development Prospect Manager,2,Development Manager,14739,Development Manager,18428
Non-Profit,Prospect Research Student Associate,1,Research Associate,13013,Research Associate,13059
Non-Profit,Prospect Research Associate,25,Research Associate,13013,Research Associate,13059
Non-Profit,Prospect Research Senior Manager,2,Senior Manager,13006,Senior Manager,16273
Non-Profit,Senior Prospect Manager,1,Senior Manager,13006,Senior Manager,16273
Non-Profit,Prospect Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Prospect Development Student Assistant,1,Student Assistant,11524,Student Assistant,12123
Non-Profit,Prospect Development Coordinator,2,Development Coordinator,9648,Development Coordinator,10332
Non-Profit,Prospect Development Associate,2,Development Associate,9171,Development Associate,9171
Non-Profit,Prospect Development Intern,2,Development Intern,7651,Development Intern,7875
Non-Profit,Prospective Department Manager,1,Department Manager,6996,Department Manager,7347
Non-Profit,Prospect Development Data Assistant,1,Development Assistant,6537,Development Assistant,6822
Non-Profit,Prospect Development Assistant,4,Development Assistant,6537,Development Assistant,6822
Non-Profit,Senior Prospect Management Associate,1,Senior Associate,6361,Senior Associate,6383
Non-Profit,Senior Prospect Analyst,3,Senior Analyst,6223,Senior Analyst,6714
Non-Profit,Prospect Management Assistant,2,Management Assistant,5676,Management Assistant,6254
Non-Profit,Prospect Research Officer,33,Research Officer,4839,Research Officer,4856
Non-Profit,Prospect Development Consultant,2,Development Consultant,4681,Development Consultant,5146
Non-Profit,Prospect Research Student Worker,1,Student Worker,4543,Student Worker,4565
Non-Profit,Prospect Management Consultant,1,Management Consultant,4389,Management Consultant,5038
Non-Profit,Prospect Development Specialist,3,Development Specialist,3442,Development Specialist,4251
Non-Profit,Prospect Development Data Specialist,1,Development Specialist,3442,Development Specialist,4251
Non-Profit,Prospecting Development Specialist,1,Development Specialist,3442,Development Specialist,4251
Non-Profit,Prospect Research The Director Assistant,2,Director Assistant,3263,Director Assistant,3456
Non-Profit,Prospect Research Consultant,15,Research Consultant,3027,Research Consultant,3045
Non-Profit,Prospect Research Development Associate Director,1,Development Associate Director,2924,Development Associate Director,2955
Non-Profit,Prospect Development Associate Director,5,Development Associate Director,2924,Development Associate Director,2955
Non-Profit,Senior Prospect Researcher,22,Senior Researcher,2572,Senior Researcher,2572
Non-Profit,Prospect Management Senior Researcher,1,Senior Researcher,2572,Senior Researcher,2572
Non-Profit,Prospect Development Assistant Director,2,Development Assistant Director,2190,Development Assistant Director,2190
Non-Profit,Prospect Development Senior Director,2,Development Senior Director,1654,Development Senior Director,1654
Non-Profit,Prospect Development Analyst,12,Development Analyst,1429,Development Analyst,1429
Non-Profit,Prospect Management Analyst,19,Management Analyst,1411,Management Analyst,1579
Non-Profit,Analyst Prospect Management,1,Management Analyst,1411,Management Analyst,1579
Non-Profit,Prospect Research Specialist,21,Research Specialist,1148,Research Specialist,1148
Non-Profit,Prospect Information Manager,10,Information Manager,1105,Information Manager,1148
Non-Profit,Prospect Management Officer,3,Management Officer,1100,Management Officer,1703
Non-Profit,Senior Prospect Research Associate,2,Senior Research Associate,1046,Senior Research Associate,1046
Non-Profit,Prospect Management Specialist,4,Management Specialist,954,Management Specialist,1394
Non-Profit,Prospective Classroom Teacher,1,Classroom Teacher,945,Classroom Teacher,945
Non-Profit,Prospect Strategy Director,3,Strategy Director,937,Director,216626
Non-Profit,Senior Prospect Research Analyst,16,Senior Research Analyst,904,Senior Research Analyst,904
Non-Profit,Prospect Research Technician,2,Research Technician,893,Research Technician,893
Non-Profit,Prospect Management Director,44,Management Director,892,Management Director,1816
Non-Profit,Senior Prospect Development Manager,1,Senior Development Manager,811,Senior Development Manager,811
Non-Profit,Prospect Information Analyst,4,Information Analyst,773,Information Analyst,773
Non-Profit,Prospect Development Executive,4,Development Executive,702,Development Executive,702
Non-Profit,Assistant Prospect Researcher,2,Assistant Researcher,680,Assistant Researcher,680
Non-Profit,Prospect Management Associate,8,Management Associate,669,Management Associate,702
Non-Profit,Prospect Management Coordinator,18,Management Coordinator,593,Management Coordinator,1207
Non-Profit,Prospect Information Coordinator,2,Information Coordinator,481,Information Coordinator,481
Non-Profit,Prospect Research Executive,5,Research Executive,443,Research Executive,443
Non-Profit,Senior Prospect Research Officer,3,Senior Research Officer,434,Senior Research Officer,434
Non-Profit,Freelance Prospect Researcher,3,Freelance Researcher,433,Freelance Researcher,433
Non-Profit,Major Gifts Prospect Researcher,2,Prospect Researcher,406,Prospect Researcher,406
Non-Profit,Foundation Prospect Researcher,7,Prospect Researcher,406,Prospect Researcher,406
Non-Profit,Prospect Researcher,374,Prospect Researcher,406,Prospect Researcher,406
Non-Profit,Summer Prospect Researcher,1,Prospect Researcher,406,Prospect Researcher,406
Non-Profit,Donor Prospect Researcher,2,Prospect Researcher,406,Prospect Researcher,406
Non-Profit,Prospect Development Researcher,3,Prospect Researcher,406,Prospect Researcher,406
Non-Profit,Campaign Prospect Researcher,4,Prospect Researcher,406,Prospect Researcher,406
Non-Profit,Development Prospect Researcher,2,Prospect Researcher,406,Prospect Researcher,406
Non-Profit,Volunteer Prospect Researcher,1,Prospect Researcher,406,Prospect Researcher,406
Non-Profit,Prospect Research Volunteer,5,Research Volunteer,334,Research Volunteer,334
Non-Profit,Prospect Strategy Analyst,4,Strategy Analyst,279,Strategy Analyst,279
Non-Profit,Senior Prospect Data Analyst,1,Senior Data Analyst,246,Senior Data Analyst,246
Non-Profit,Prospect Research Administrator,1,Research Administrator,239,Research Administrator,239
Non-Profit,Prospect Research Supervisor,1,Research Supervisor,168,Research Supervisor,168
Non-Profit,Senior Prospect Development Coordinator,1,Senior Development Coordinator,166,Senior Development Coordinator,166
Non-Profit,Prospect Research Professional,1,Research Professional,162,Research Professional,162
Non-Profit,Prospect Research Vice President,1,Research Vice President,156,Research Vice President,156
Non-Profit,Senior Prospect Management Analyst,3,Senior Management Analyst,154,Senior Management Analyst,154
Non-Profit,Senior Prospect Development Analyst,1,Senior Development Analyst,150,Senior Development Analyst,150
Non-Profit,Senior Prospect Research Executive,1,Senior Research Executive,146,Senior Research Executive,146
Non-Profit,Major Donor Prospect Manager,3,Major Donor Manager,136,Manager,278939
Non-Profit,Prospect Research Assistant Director,26,Research Assistant Director,135,Research Assistant Director,135
Non-Profit,Prospect Research Associate Director,12,Research Associate Director,126,Research Associate Director,126
Non-Profit,Prospect Research Interim Director,1,Prospect Research Director,123,Research Director,3453
Non-Profit,Director Prospect Research,3,Prospect Research Director,123,Research Director,3453
Non-Profit,Prospect Records Assistant,1,Records Assistant,123,Assistant,99968
Non-Profit,Prospect Research Director,119,Prospect Research Director,123,Research Director,3453
Non-Profit,Prospect Development Research Analyst,1,Prospect Research Analyst,113,Research Analyst,8584
Non-Profit,Prospect Research Manager,112,Prospect Research Manager,113,Research Manager,3076
Non-Profit,Prospect Research Analyst,112,Prospect Research Analyst,113,Research Analyst,8584
Non-Profit,Manager Prospect Research,1,Prospect Research Manager,113,Research Manager,3076
Non-Profit,Major Gifts Prospect Research Intern,1,Major Gifts Intern,112,Major Gifts Intern,112
Non-Profit,Prospect Research Major Gifts Intern,1,Major Gifts Intern,112,Major Gifts Intern,112
Non-Profit,Prospect Research Coordinator,66,Prospect Research Coordinator,66,Research Coordinator,3062
Non-Profit,Prospect Research Contractor,1,Research Contractor,50,Research Contractor,50
Non-Profit,Prospect Information Management Intern,1,Information Management Intern,50,Information Management Intern,50
Non-Profit,Independent Prospect Research Consultant,1,Independent Research Consultant,48,Independent Research Consultant,48
Non-Profit,Prospect Research Student Assistant,1,Prospect Research Assistant,37,Research Assistant,58676
Non-Profit,Development Prospect Research Assistant,1,Prospect Research Assistant,37,Research Assistant,58676
Non-Profit,Prospect Research Assistant,35,Prospect Research Assistant,37,Research Assistant,58676
Non-Profit,Prospect Manager,31,Prospect Manager,32,Manager,278939
Non-Profit,Prospect Tracking Manager,1,Prospect Manager,32,Manager,278939
Non-Profit,Development Prospect Research Intern,1,Development Research Intern,29,Development Research Intern,29
Non-Profit,Freelance Prospect Research Consultant,1,Freelance Research Consultant,28,Freelance Research Consultant,28
Non-Profit,Prospecting Assistant,19,Prospecting Assistant,19,Assistant,99968
