software ID,merged,Tool Name,Tool Type,Cost,Research Use-Cases,Integrations,Notes,Free Alternative,
PR-001,yes,DonorSearch,Research Platform,Paid,,,,,
PR-002,yes,AlumniFinder,Research Platform,Paid,"Donor Profiles, Wealth screening, Due dilligence","Ellucian, Salesforce, RE NXT (Blackbaud)",,,
PR-003,yes,LexisNexis,Research Platform,Paid,"Due dilligence, Donor Profiles, Alerts",,"Rough estimate of sources: 13,685, across multiple categories",,
PR-004,yes,DonorAtlas,Research Platform,Paid,Donor Profiles,,New,,
PR-005,yes,AI Identified,Research Platform,Paid,Alerts,,,,
PR-006,yes,RE NXT (Blackbaud),CRM,Paid,,,,,
PR-007,yes,ResearchPoint,Research Platform,Paid,Wealth screening,,,,
PR-008,Yes,iWave (Kindsight),Research Platform,Paid,"Wealth screening, Donor Profiles, Alerts",,,,
PR-009,Yes,Ascend (Salesforce),CRM,Paid,,,,,
PR-010,Yes,Candid Foundation Directory,Research Platform,Limited free tier,,,,,
PR-011,Yes,DonorPerfect,Research Platform,Limited free tier,,,,,
PR-012,Yes,DonorSearch,Research Platform,Limited free tier,,,,,
PR-013,Yes,WealthEngine,Research Platform,Limited free tier,,,,,
PR-014,Yes,Windfall,Research Platform,Limited free tier,,,,,
PR-015,Yes,Kaleidoscope,Research Platform,Limited free tier,,,,,
PR-016,,Altrata,Data Broker / Source,Limited free tier,,,,,
PR-017,,Insightful,Research Platform,Limited free tier,,,,,
PR-018,,Wealth-X,Research Platform,Limited free tier,,,,,
PR-019,,RELSCI,Data Broker / Source,Limited free tier,,,,,
PR-020,,Dun & Bradstreet,Data Broker / Source,Limited free tier,,,,,
PR-021,,DatabaseUSA,Data Broker / Source,,,,,,
PR-022,,ZoomInfo,Data Broker / Source,,,,,,
PR-023,,Larkspur,Data Broker / Source,,,,,,
PR-024,,VeriGift,Research Platform,,,,"iWave's proprietary database of charitable data, still need to map out it's mechanics or sources",,
PR-025,,PowerQuery,Data Analysis / Reporting,,,,,OpenRefine,
PR-026,,Jira,Project Management,,,,,,
PR-027,,Asana,Project Management,,,,,,
PR-028,,Trello,Project Management,,,,,,
PR-029,,Zendesk,Project Management,,,,,,
PR-030,,Click-up,Project Management,,,,,,
PR-031,,PowerBI,Data Analysis / Reporting,,,,,,
PR-032,,Tableau,Data Analysis / Reporting,,,,,,
PR-033,,Almaconnect,Research Platform,,,,,,
PR-034,,Pitchbook,Data Broker / Source,,,,,,
PR-035,,MergentOnline,Data Broker / Source,,,,,,
PR-036,,Excel,Data Analysis / Reporting,,,,,,
PR-037,,Obsidian,Knowledge Management,,,,,,
PR-038,,Instagram,Social Media,,,,,,
PR-039,,LinkedIn,Social Media,,,,,,
PR-040,,SalesNavigator (LinkedIn),Research Platform,,,,,,
PR-041,,Facebook,Social Media,,,,,,
PR-042,,Bitwarden,Security,,,,,,
PR-043,,Xapien,R,,"Due dilligence, Profile generation",,,,
PR-043,,RocketReach,Research Platform,,,,,,
PR-044,,EDGAR,Public Database,,,,,,
PR-045,,Pipl.com,Research Platform,,,,,,
PR-046,,Monday.com,Project Management,,,,,,
PR-047,,Code-fi (Pyro Solutions),Research Platform,,"Gift capacity, international, low-information environments",,,,
PR-048,,Reclaim the Records,Public Database,,,,,,https://www.reclaimtherecords.org/
,,,,,,,,,